epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7214,1.93569,2.84209,1.69462,0.29472,0.23238,0.20451,0.09123,1.53096,4.04444,1.32604,0.000554638,0.000554638,0.000554638
2,95.2192,1.97478,2.46056,1.74849,0.23374,0.24781,0.17157,0.07822,1.59684,3.46206,1.4433,0.00109931,0.00109931,0.00109931
3,140.366,1.97152,2.40085,1.77499,0.33367,0.31508,0.26198,0.1282,1.48436,2.94896,1.36948,0.00163298,0.00163298,0.00163298
4,180.203,1.93682,2.3138,1.73302,0.3629,0.3472,0.28668,0.14131,1.42452,2.71223,1.24332,0.00161749,0.00161749,0.00161749
5,227.374,1.88623,2.2358,1.69562,0.2175,0.36813,0.20927,0.1014,1.42728,2.98259,1.31248,0.00160099,0.00160099,0.00160099
6,274.622,1.82773,2.15739,1.64713,0.39334,0.38132,0.3454,0.17194,1.36656,1.90044,1.2705,0.00158448,0.00158448,0.00158448
7,320.676,1.78291,2.08557,1.63107,0.38079,0.42425,0.3722,0.18636,1.3044,4.09525,1.2198,0.00156798,0.00156798,0.00156798
8,363.005,1.74934,2.03599,1.58953,0.40654,0.45123,0.37424,0.18895,1.29683,2.02821,1.20676,0.00155148,0.00155148,0.00155148
9,409.081,1.73593,1.98293,1.586,0.48114,0.44904,0.3953,0.20842,1.27217,1.89456,1.16518,0.00153497,0.00153497,0.00153497
10,452.307,1.72604,1.93536,1.564,0.45858,0.50132,0.44868,0.24736,1.20723,2.04975,1.13116,0.00151847,0.00151847,0.00151847
11,493.853,1.67636,1.88339,1.5414,0.49603,0.44279,0.45443,0.2437,1.23373,2.51225,1.16874,0.00150197,0.00150197,0.00150197
12,529.27,1.68212,1.87634,1.53741,0.52015,0.48535,0.46604,0.24797,1.22171,1.65166,1.12822,0.00148546,0.00148546,0.00148546
13,564.786,1.64053,1.84417,1.51108,0.5413,0.51218,0.49962,0.2647,1.19574,1.60104,1.11424,0.00146896,0.00146896,0.00146896
14,600.409,1.63222,1.79271,1.50673,0.43484,0.5336,0.4523,0.24922,1.22396,1.78881,1.13551,0.00145246,0.00145246,0.00145246
15,636.743,1.60448,1.76786,1.49688,0.54055,0.51941,0.52076,0.28025,1.20246,1.80668,1.11158,0.00143595,0.00143595,0.00143595
16,672.521,1.60882,1.75461,1.49964,0.61344,0.50587,0.52782,0.28229,1.22082,1.5479,1.13567,0.00141945,0.00141945,0.00141945
17,707.027,1.58154,1.70712,1.48183,0.58456,0.53771,0.56327,0.30583,1.14667,1.9367,1.08517,0.00140295,0.00140295,0.00140295
18,741.275,1.57292,1.71555,1.4717,0.60832,0.5583,0.57116,0.31438,1.13884,1.59476,1.07868,0.00138644,0.00138644,0.00138644
19,775.285,1.57088,1.70483,1.46457,0.57189,0.54727,0.55399,0.31085,1.12435,1.87661,1.06163,0.00136994,0.00136994,0.00136994
20,809.966,1.55438,1.66257,1.46613,0.60215,0.58277,0.59438,0.33507,1.11327,2.47014,1.04136,0.00135344,0.00135344,0.00135344
21,845.119,1.53169,1.63572,1.43629,0.60862,0.56683,0.58883,0.32984,1.12124,1.43741,1.03604,0.00133693,0.00133693,0.00133693
22,880.639,1.52858,1.61349,1.43612,0.59795,0.57917,0.58885,0.33397,1.13859,1.33663,1.07535,0.00132043,0.00132043,0.00132043
23,919.186,1.51121,1.58368,1.42101,0.60384,0.60062,0.59942,0.3417,1.09776,1.5101,1.02095,0.00130393,0.00130393,0.00130393
24,955.909,1.51854,1.59836,1.42629,0.6538,0.58471,0.62509,0.36061,1.09776,1.29041,1.02686,0.00128742,0.00128742,0.00128742
25,990.469,1.5031,1.59324,1.41942,0.63805,0.58652,0.62298,0.36023,1.06971,1.40498,1.00787,0.00127092,0.00127092,0.00127092
26,1025.18,1.50071,1.56964,1.41324,0.62708,0.59639,0.62948,0.36606,1.07442,1.52072,1.0113,0.00125442,0.00125442,0.00125442
27,1060.11,1.4737,1.53743,1.40698,0.64978,0.62338,0.64573,0.37063,1.08091,1.44481,1.01959,0.00123791,0.00123791,0.00123791
28,1094.58,1.49966,1.55991,1.40969,0.67454,0.61668,0.65539,0.36936,1.07852,1.71817,1.0134,0.00122141,0.00122141,0.00122141
29,1130.06,1.47793,1.52204,1.39905,0.66401,0.60974,0.646,0.367,1.0911,1.27956,1.02191,0.00120491,0.00120491,0.00120491
30,1164.75,1.45917,1.50023,1.38976,0.64992,0.63169,0.65412,0.37854,1.05979,1.76588,1.00101,0.0011884,0.0011884,0.0011884
31,1200.39,1.46559,1.50615,1.3916,0.69295,0.59947,0.66643,0.38981,1.06468,1.32124,1.00979,0.0011719,0.0011719,0.0011719
32,1236.1,1.45776,1.48738,1.3848,0.66667,0.64188,0.65407,0.38926,1.04626,1.4294,1.00106,0.0011554,0.0011554,0.0011554
